Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,61.80,63.90,61.75,63.75,4063700,63.75
2015-01-20,60.25,61.35,60.25,60.95,1660300,60.95
2015-01-19,60.60,61.25,60.30,60.50,1544300,60.50
2015-01-16,60.20,61.95,59.70,60.40,2404000,60.40
2015-01-15,60.00,61.10,59.40,60.20,2702500,60.20
2015-01-14,59.75,60.20,58.70,58.95,2227500,58.95
2015-01-13,60.30,60.85,59.15,59.60,2719700,59.60
2015-01-12,58.90,60.45,58.05,60.15,2437400,60.15
2015-01-09,61.55,61.95,57.55,58.65,2957000,58.65
2015-01-08,60.95,62.00,60.50,61.00,3901200,61.00
2015-01-07,56.75,60.15,56.55,59.65,4068300,59.65
2015-01-06,56.95,57.45,55.70,56.55,4240500,56.55
2015-01-05,54.20,58.30,54.20,57.85,6744200,57.85
2015-01-02,52.45,53.55,52.25,53.40,2461000,53.40
2015-01-01,51.10,52.35,51.10,52.00,804600,52.00
2014-12-31,50.10,51.55,49.60,51.35,1471500,51.35
2014-12-30,51.50,52.10,51.00,51.55,1264400,51.55
2014-12-29,50.05,51.40,50.05,51.30,1282200,51.30
2014-12-26,49.80,50.60,49.20,49.80,899100,49.80
2014-12-25,49.80,49.80,49.80,49.80,000,49.80
2014-12-24,49.50,50.65,49.20,49.80,1316500,49.80
2014-12-23,50.70,51.00,49.10,49.65,672700,49.65
2014-12-22,51.00,51.25,50.30,50.70,1058300,50.70
2014-12-19,51.80,52.30,50.30,50.55,1798800,50.55
2014-12-18,47.20,51.00,47.20,50.30,2030100,50.30
2014-12-17,45.50,47.45,43.20,46.70,2852500,46.70
2014-12-16,48.00,48.30,45.45,45.80,2054300,45.80
2014-12-15,48.70,49.75,47.90,48.40,1958600,48.40
2014-12-12,50.40,51.40,48.95,49.10,1185800,49.10
2014-12-11,50.65,50.95,49.40,50.45,735200,50.45
2014-12-10,49.70,51.10,49.70,50.65,985600,50.65
2014-12-09,51.00,51.10,49.75,50.10,1246300,50.10
2014-12-08,53.45,53.50,51.10,51.40,1219000,51.40
2014-12-05,54.00,54.60,53.10,53.45,719100,53.45
2014-12-04,55.20,55.65,54.15,54.40,974500,54.40
2014-12-03,55.00,55.75,54.65,55.00,13630800,55.00
2014-12-02,53.95,55.20,52.65,54.80,2102700,54.80
2014-12-01,52.50,54.10,51.40,53.65,1677700,53.65
2014-11-28,52.00,52.65,51.80,52.35,1724200,52.35
2014-11-27,51.25,52.40,50.70,51.70,2223200,51.70
2014-11-26,48.85,51.45,48.20,51.10,1801700,51.10
2014-11-25,51.95,52.20,48.20,49.20,2351700,49.20
2014-11-24,53.10,53.60,51.55,51.75,1414600,51.75
2014-11-21,52.75,53.70,52.60,52.80,1149000,52.80
2014-11-20,52.90,52.95,51.75,52.75,1247000,52.75
2014-11-19,54.20,54.50,52.40,52.75,1718200,52.75
2014-11-18,55.75,55.75,53.60,53.80,1827500,53.80
2014-11-17,54.70,55.50,54.05,55.30,1890100,55.30
2014-11-14,54.35,55.00,53.50,54.50,1853300,54.50
2014-11-13,53.90,56.15,53.30,53.90,4825200,53.90
2014-11-12,49.90,54.00,49.65,53.20,4945800,53.20
2014-11-11,49.65,50.20,49.10,49.55,1665900,49.55
2014-11-10,47.75,49.40,47.25,49.15,2421000,49.15
2014-11-07,48.60,49.00,47.10,47.40,3848200,47.40
2014-11-06,46.75,46.75,46.75,46.75,000,46.75
2014-11-05,46.75,47.90,46.55,46.75,1312100,46.75
2014-11-04,46.50,46.50,46.50,46.50,000,46.50
2014-11-03,46.70,47.75,46.25,46.50,3566900,46.50
2014-10-31,46.40,46.80,46.00,46.35,1613900,46.35
2014-10-30,45.70,46.55,44.95,46.30,1646200,46.30
2014-10-29,45.50,46.30,45.40,45.55,1110600,45.55
2014-10-28,46.00,46.05,45.35,45.55,1498700,45.55
2014-10-27,46.20,46.35,45.50,45.75,1672500,45.75
2014-10-24,44.45,44.45,44.45,44.45,000,44.45
2014-10-23,44.45,44.45,44.45,44.45,000,44.45
2014-10-22,44.60,45.00,44.20,44.45,688400,44.45
2014-10-21,44.45,45.05,44.15,44.30,848300,44.30
2014-10-20,44.50,45.50,44.25,44.45,1817800,44.45
2014-10-17,43.40,43.70,42.45,43.35,1172900,43.35
2014-10-16,44.20,44.95,41.85,42.55,1548500,42.55
2014-10-15,44.60,44.60,44.60,44.60,000,44.60
2014-10-14,44.75,45.15,44.30,44.60,1205700,44.60
2014-10-13,43.30,45.00,43.05,44.55,1706600,44.55
2014-10-10,44.90,45.65,43.70,44.10,2130600,44.10
2014-10-09,44.45,45.40,44.20,45.20,2601500,45.20
2014-10-08,42.45,44.10,42.30,43.85,2037300,43.85
2014-10-07,42.25,44.00,42.25,42.60,2558900,42.60
2014-10-06,42.00,42.00,42.00,42.00,000,42.00
2014-10-03,42.00,42.00,42.00,42.00,000,42.00
2014-10-02,42.00,42.00,42.00,42.00,000,42.00
2014-10-01,41.20,42.40,41.15,42.00,2013700,42.00
2014-09-30,41.10,41.85,40.55,41.10,1959000,41.10
2014-09-29,40.00,41.75,39.90,41.20,2025900,41.20
2014-09-26,38.45,39.95,38.05,39.75,1519400,39.75
2014-09-25,38.80,39.30,37.80,38.40,1598400,38.40
2014-09-24,39.00,39.35,37.65,38.70,1906800,38.70
2014-09-23,40.55,41.10,38.75,38.95,1359200,38.95
2014-09-22,39.40,41.30,39.25,40.85,1339500,40.85
2014-09-19,41.50,41.50,39.40,39.70,1548600,39.70
2014-09-18,38.80,41.25,38.30,41.05,2073200,41.05
2014-09-17,39.90,40.15,37.05,38.80,2684600,38.80
2014-09-16,42.10,42.65,39.05,39.30,1986300,39.30
2014-09-15,41.25,42.40,41.05,42.05,1711400,42.05
2014-09-12,42.00,42.35,41.35,41.45,1434100,41.45
2014-09-11,42.00,42.60,41.60,41.90,2491500,41.90
2014-09-10,40.65,42.15,39.75,41.60,4091100,41.60
2014-09-09,38.85,41.30,38.20,40.70,6470800,40.70
2014-09-08,38.60,39.20,38.10,38.60,1051900,38.60
2014-09-05,37.50,39.20,37.10,38.50,2152600,38.50
2014-09-04,37.90,37.90,36.80,37.40,1509500,37.40
2014-09-03,38.50,39.10,37.65,38.00,1561100,38.00
2014-09-02,39.10,39.10,37.75,38.15,1433900,38.15
2014-09-01,36.45,39.30,36.45,38.75,3198600,38.75
2014-08-29,36.55,36.55,36.55,36.55,000,36.55
2014-08-28,36.95,37.05,36.25,36.55,1121200,36.55
2014-08-27,36.35,36.90,36.25,36.75,1129400,36.75
2014-08-26,35.45,36.40,35.00,36.00,1323100,36.00
2014-08-25,36.60,36.80,35.35,35.55,780000,35.55
2014-08-22,37.00,37.60,36.35,36.60,1491200,36.60
2014-08-21,37.35,37.55,36.10,36.65,1588800,36.65
2014-08-20,38.15,38.30,36.95,37.00,2671900,37.00
2014-08-19,35.55,38.05,35.15,37.80,4994900,37.80
