Date,Open,High,Low,Close,Volume,Adj Close
2015-01-21,6.00,6.00,6.00,6.00,000,6.00
2015-01-20,6.00,6.00,6.00,6.00,000,6.00
2015-01-19,6.00,6.00,6.00,6.00,000,6.00
2015-01-16,6.00,6.00,6.00,6.00,000,6.00
2015-01-15,6.00,6.00,6.00,6.00,000,6.00
2015-01-14,6.00,6.00,6.00,6.00,000,6.00
2015-01-13,6.00,6.00,6.00,6.00,000,6.00
2015-01-12,6.00,6.00,6.00,6.00,000,6.00
2015-01-09,6.00,6.00,6.00,6.00,000,6.00
2015-01-08,6.00,6.00,6.00,6.00,000,6.00
2015-01-07,6.00,6.00,6.00,6.00,000,6.00
2015-01-06,6.00,6.00,6.00,6.00,000,6.00
2015-01-05,6.00,6.00,6.00,6.00,500,6.00
2015-01-02,6.00,6.00,6.00,6.00,000,6.00
2015-01-01,6.27,6.27,6.27,6.27,000,6.27
2014-12-31,6.27,6.27,6.27,6.27,000,6.27
2014-12-30,6.27,6.27,6.27,6.27,000,6.27
2014-12-29,6.27,6.27,6.27,6.27,200,6.27
2014-12-26,6.59,6.59,6.59,6.59,000,6.59
2014-12-25,6.59,6.59,6.59,6.59,000,6.59
2014-12-24,6.59,6.59,6.59,6.59,000,6.59
2014-12-23,6.59,6.59,6.59,6.59,000,6.59
2014-12-22,6.30,6.30,6.30,6.30,000,6.30
2014-12-19,6.30,6.30,6.30,6.30,000,6.30
2014-12-18,6.30,6.30,6.30,6.30,000,6.30
2014-12-17,6.30,6.30,6.30,6.30,000,6.30
2014-12-16,6.30,6.30,6.30,6.30,000,6.30
2014-12-15,6.30,6.30,6.30,6.30,000,6.30
2014-12-12,6.30,6.30,6.30,6.30,000,6.30
2014-12-11,6.30,6.30,6.30,6.30,1000,6.30
2014-12-10,5.72,6.00,5.72,6.00,1100,6.00
2014-12-09,5.70,5.72,5.70,5.72,8200,5.72
2014-12-08,5.36,5.45,5.36,5.45,000,5.45
2014-12-05,5.75,5.75,5.64,5.64,100,5.64
2014-12-04,5.00,5.48,5.00,5.48,000,5.48
2014-12-03,5.22,5.22,5.22,5.22,000,5.22
2014-12-02,5.49,5.76,5.22,5.22,1300,5.22
2014-12-01,5.45,5.49,5.45,5.49,200,5.49
2014-11-28,5.23,5.23,5.23,5.23,400,5.23
2014-11-27,5.71,5.99,5.43,5.50,1100,5.50
2014-11-26,5.85,5.85,5.50,5.71,400,5.71
2014-11-25,5.71,5.71,5.71,5.71,000,5.71
2014-11-24,5.44,5.44,5.44,5.44,000,5.44
2014-11-21,5.19,5.19,5.19,5.19,000,5.19
2014-11-20,5.19,5.19,5.19,5.19,000,5.19
2014-11-19,5.19,5.19,5.19,5.19,000,5.19
2014-11-18,5.19,5.73,5.19,5.19,400,5.19
2014-11-17,5.35,5.91,5.35,5.46,100,5.46
2014-11-14,5.11,5.63,5.11,5.63,10000,5.63
2014-11-13,5.93,5.93,5.37,5.37,10500,5.37
2014-11-12,5.65,5.65,5.65,5.65,9700,5.65
2014-11-11,5.39,5.39,5.39,5.39,500,5.39
2014-11-10,5.14,5.14,5.14,5.14,500,5.14
2014-11-07,4.90,4.90,4.89,4.90,11000,4.90
2014-11-06,4.67,4.67,4.67,4.67,000,4.67
2014-11-05,4.67,4.67,4.67,4.67,500,4.67
2014-11-04,4.45,4.45,4.45,4.45,000,4.45
2014-11-03,4.45,4.45,4.45,4.45,1500,4.45
2014-10-31,4.24,4.24,4.24,4.24,1000,4.24
